"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"391","napH",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"392","ccmH",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"393","ybiV",0,1,0,0,0,0,0,0,0,0,0
"394","efp",0,1,0,0,0,0,0,0,0,0,0
"395","hemD",0,1,0,0,0,0,0,0,0,0,0
"396","yeaD",1,0,0,0,0,0,0,0,0,0,1
"397","nemA",1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667
"398","pykF",1,0,0,0,0,0,0,0,0,0,1
"399","efeB",0,1,0,0,0,0,0,0,0,0,0
"400","yejG",0,1,0,0,0,0,0,0,0,0,0
"401","purC",1,0,0,0,0,0,0,0,0,0,1
"402","uspE",0,1,0,0,0,0,0,0,0,0,0
"403","cyoA",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"404","ilvI",1,0,0,0,0,0,0,0,0,0,1
"405","glpK",1,0,0,0,0,0,0,0,0,0,1
"406","eda",1,0,0,0,0,0,0,0,0,0,1
"407","pheP",0,1,0,0,0,0,0,0,0,0,0
"408","cysK",1,0,0,0,0,0,0,0,0,0,1
"409","napF",1,0,0,0,0,0,0,0,0.125,0,0.875
"410","ynaJ",0,1,0,0,0,0,0,0,0,0,0
"411","torA",1,0,0,0,0,0,0,0,0,0,1
"412","nanE",1,0,0,0,0,0,0,0,0,0,1
"413","thiD",0,1,0,0,0,0,0,0,0,0,0
"414","ydhP",0,1,0,0,0,0,0,0,0,0,0
"415","galP",1,0,0,0,0,0,0,0,0,0,1
